victim_number,Victim_Age,Victim_Sex,crime_id
1361,18,M,240
1385,24,M,264
1292,12,M,171
1307,70,M,171
1528,31,M,240
1399,0,,278
1342,20,M,221
1393,0,,272
1571,0,,450
1291,0,,170
1129,0,,8
1508,54,M,387
1351,43,M,8
1267,36,M,146
1334,53,M,8
1612,35,M,491
1300,29,F,179
1486,28,M,491
1530,0,M,409
1174,52,M,53
1168,49,F,47
1237,0,F,116
1392,0,,271
1159,45,F,38
1425,21,F,304
1413,0,,292
1464,54,M,2
1202,46,F,81
1521,66,M,400
1227,0,,106
1123,0,,2
1512,0,,391
1485,57,M,364
1338,35,F,217
1515,29,M,394
1501,0,,380
1257,38,F,136
1345,12,M,224
1146,32,F,25
1161,0,F,40
1255,0,,134
1504,50,F,383
1341,57,M,220
1585,0,,220
1403,54,M,282
1553,0,,432
1315,24,M,194
1461,58,M,340
1536,44,M,86
1241,0,,120
1207,0,M,86
1620,0,,499
1506,27,M,385
1233,0,,112
1305,48,F,184
1354,28,M,233
1362,36,M,233
1579,0,M,458
1220,0,,99
1507,28,M,386
1379,28,M,258
1456,0,,335
1222,0,,101
1295,48,M,174
1449,0,,328
1283,24,M,162
1398,0,,277
1510,0,,389
1247,22,F,126
1499,12,M,378
1236,0,,115
1605,0,,484
1604,0,,483
1587,0,,466
1490,0,M,369
1496,49,M,375
1543,0,,422
1242,0,,121
1404,0,,283
1517,0,,396
1489,49,M,368
1534,0,,413
1584,40,F,463
1165,0,M,44
1424,0,,303
1276,0,,155
1249,19,M,128
1228,11,M,107
1436,0,,315
1546,0,,425
1321,0,M,200
1532,57,F,411
1416,0,,295
1330,66,M,209
1294,59,F,209
1226,0,,105
1180,57,M,59
1526,0,M,405
1188,45,M,67
1514,0,,393
1445,25,M,324
1564,0,,443
1470,22,M,349
1423,0,,302
1209,34,M,88
1260,0,,139
1531,39,F,410
1219,0,,98
1177,21,M,56
1153,27,M,56
1418,0,,297
1356,18,F,235
1162,0,,41
1163,23,M,42
1407,0,,286
1419,0,,298
1140,18,F,19
1333,0,M,212
1495,52,M,374
1248,0,,127
1141,25,M,20
1143,37,M,22
1182,29,M,61
1551,0,,430
1148,0,,27
1401,0,,280
1467,0,,346
1370,0,,249
1357,0,M,236
1527,0,,406
1204,29,M,83
1317,42,F,196
1131,27,F,10
1186,33,F,65
1394,0,,273
1205,12,M,84
1498,28,F,377
1448,52,F,327
1420,0,,299
1325,29,F,204
1533,49,M,412
1493,44,M,372
1137,19,F,16
1166,46,M,45
1391,0,,270
1550,0,,429
1172,56,F,51
1471,30,M,350
1274,0,,153
1545,48,F,424
1588,0,,467
1221,0,,100
1617,0,,496
1549,0,,428
1144,50,F,89
1210,32,M,89
1453,0,,332
1410,0,,289
1537,0,,416
1597,0,,476
1540,20,M,419
1169,53,F,48
1594,0,,473
1223,0,,102
1383,48,F,262
1574,0,F,453
1435,45,M,314
1170,36,F,49
1581,0,,460
1323,21,M,202
1196,51,M,75
1184,0,M,63
1460,0,M,339
1198,12,M,77
1367,59,M,246
1368,32,M,247
1593,0,,472
1289,0,,168
1164,0,,43
1390,57,M,269
1167,22,M,46
1213,20,F,92
1225,42,M,104
1535,0,,414
1310,21,M,189
1488,31,F,189
1408,0,,287
1601,20,M,480
1599,0,,478
1199,50,M,189
1134,42,M,13
1147,18,F,26
1132,0,,11
1200,12,M,79
1562,0,,441
1262,0,,141
1208,0,M,87
1397,26,M,276
1272,0,,151
1582,0,,461
1302,35,F,181
1544,0,,423
1271,0,,150
1152,18,M,31
1475,30,M,354
1211,21,F,90
1487,12,F,366
1559,0,,438
1458,40,M,337
1372,0,,251
1389,0,,268
1378,41,F,257
1230,0,,109
1598,47,M,477
1619,0,M,498
1589,0,,468
1610,0,,489
1217,41,F,96
1366,25,M,245
1232,0,,111
1552,46,M,431
1240,0,,119
1450,0,,329
1284,0,,163
1328,55,F,207
1473,53,M,352
1430,0,,309
1293,23,M,172
1417,0,,296
1273,0,,152
1364,62,M,243
1187,35,F,66
1350,0,,229
1135,29,M,14
1409,0,M,288
1363,37,F,242
1352,24,F,231
1406,31,M,285
1299,52,F,178
1576,41,M,455
1175,33,F,54
1316,0,M,195
1476,36,F,355
1412,0,,291
1268,0,,147
1355,53,M,234
1314,19,M,193
1133,0,,12
1590,0,,469
1384,63,F,263
